wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,f_0,f_1,f_5,f_10,f_15,f_20,f_25,f_30,f_35,f_40,f_45,f_50,f_55,f_60,f_65,f_70,f_75,f_80,m_0,m_1,m_5,m_10,m_15,m_20,m_25,m_30,m_35,m_40,m_45,m_50,m_55,m_60,m_65,m_70,m_75,m_80,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
Q12517,,FR,France,OCC,Occitanie,32,Gers,FR,FRA,2,2020-06-14,0,0,0,2,70,24,93,3600,,,,,,,,,,7422,43.65,0.58333333,,6257,,,,,,,,,,1229,4931,6057,6283,6333,6253,5987,6128,6372,6249,7039,6932,6879,6512,6270,5693,3789,8057,1284,5149,6382,6631,6615,6460,6020,6079,6355,6181,6923,6754,6608,6122,5758,5027,3037,4736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188893,102121,106993,,,,,,,25032,25862,24720,24934,26392,27173,24662,17546,10234,2559,0,144,3,,,1,,,
Q12517,,FR,France,OCC,Occitanie,32,Gers,FR,FRA,2,2020-06-15,0,0,0,76,70,24,93,3676,,,,,,,,,,7422,43.65,0.58333333,,6257,,,,,,,,,,1229,4931,6057,6283,6333,6253,5987,6128,6372,6249,7039,6932,6879,6512,6270,5693,3789,8057,1284,5149,6382,6631,6615,6460,6020,6079,6355,6181,6923,6754,6608,6122,5758,5027,3037,4736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188893,102121,106993,,,,,,,25032,25862,24720,24934,26392,27173,24662,17546,10234,2559,0,144,3,,,1,,,
Q12517,,FR,France,OCC,Occitanie,32,Gers,FR,FRA,2,2020-06-16,0,0,0,60,70,24,93,3736,,,,,,,,,,7422,43.65,0.58333333,,6257,,,,,,,,,,1229,4931,6057,6283,6333,6253,5987,6128,6372,6249,7039,6932,6879,6512,6270,5693,3789,8057,1284,5149,6382,6631,6615,6460,6020,6079,6355,6181,6923,6754,6608,6122,5758,5027,3037,4736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188893,102121,106993,,,,,,,25032,25862,24720,24934,26392,27173,24662,17546,10234,2559,0,144,3,,,1,,,
Q12517,,FR,France,OCC,Occitanie,32,Gers,FR,FRA,2,2020-06-17,0,0,1,65,70,24,94,3801,,,,,,,,,,7422,43.65,0.58333333,,6257,,,,,,,,,,1229,4931,6057,6283,6333,6253,5987,6128,6372,6249,7039,6932,6879,6512,6270,5693,3789,8057,1284,5149,6382,6631,6615,6460,6020,6079,6355,6181,6923,6754,6608,6122,5758,5027,3037,4736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188893,102121,106993,,,,,,,25032,25862,24720,24934,26392,27173,24662,17546,10234,2559,0,144,2,,,1,,,
Q12517,,FR,France,OCC,Occitanie,32,Gers,FR,FRA,2,2020-06-18,0,0,0,76,70,24,94,3877,,,,,,,,,,7422,43.65,0.58333333,,6257,,,,,,,,,,1229,4931,6057,6283,6333,6253,5987,6128,6372,6249,7039,6932,6879,6512,6270,5693,3789,8057,1284,5149,6382,6631,6615,6460,6020,6079,6355,6181,6923,6754,6608,6122,5758,5027,3037,4736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188893,102121,106993,,,,,,,25032,25862,24720,24934,26392,27173,24662,17546,10234,2559,0,144,2,,,1,,,
Q12517,,FR,France,OCC,Occitanie,32,Gers,FR,FRA,2,2020-06-19,0,0,0,70,70,24,94,3947,,,,,,,,,,7422,43.65,0.58333333,,6257,,,,,,,,,,1229,4931,6057,6283,6333,6253,5987,6128,6372,6249,7039,6932,6879,6512,6270,5693,3789,8057,1284,5149,6382,6631,6615,6460,6020,6079,6355,6181,6923,6754,6608,6122,5758,5027,3037,4736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188893,102121,106993,,,,,,,25032,25862,24720,24934,26392,27173,24662,17546,10234,2559,0,144,2,,,1,,,
Q12517,,FR,France,OCC,Occitanie,32,Gers,FR,FRA,2,2020-06-20,0,0,0,19,70,24,94,3966,,,,,,,,,,7422,43.65,0.58333333,,6257,,,,,,,,,,1229,4931,6057,6283,6333,6253,5987,6128,6372,6249,7039,6932,6879,6512,6270,5693,3789,8057,1284,5149,6382,6631,6615,6460,6020,6079,6355,6181,6923,6754,6608,6122,5758,5027,3037,4736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188893,102121,106993,,,,,,,25032,25862,24720,24934,26392,27173,24662,17546,10234,2559,0,144,2,,,1,,,
Q12517,,FR,France,OCC,Occitanie,32,Gers,FR,FRA,2,2020-06-21,0,0,0,4,70,24,94,3970,,,,,,,,,,7422,43.65,0.58333333,,6257,,,,,,,,,,1229,4931,6057,6283,6333,6253,5987,6128,6372,6249,7039,6932,6879,6512,6270,5693,3789,8057,1284,5149,6382,6631,6615,6460,6020,6079,6355,6181,6923,6754,6608,6122,5758,5027,3037,4736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188893,102121,106993,,,,,,,25032,25862,24720,24934,26392,27173,24662,17546,10234,2559,0,144,2,,,1,,,
Q12517,,FR,France,OCC,Occitanie,32,Gers,FR,FRA,2,2020-06-22,0,0,0,57,70,24,94,4027,,,,,,,,,,7422,43.65,0.58333333,,6257,,,,,,,,,,1229,4931,6057,6283,6333,6253,5987,6128,6372,6249,7039,6932,6879,6512,6270,5693,3789,8057,1284,5149,6382,6631,6615,6460,6020,6079,6355,6181,6923,6754,6608,6122,5758,5027,3037,4736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188893,102121,106993,,,,,,,25032,25862,24720,24934,26392,27173,24662,17546,10234,2559,0,144,2,,,1,,,
Q12517,,FR,France,OCC,Occitanie,32,Gers,FR,FRA,2,2020-06-23,1,0,0,80,71,24,94,4107,,,,,,,,,,7422,43.65,0.58333333,,6257,,,,,,,,,,1229,4931,6057,6283,6333,6253,5987,6128,6372,6249,7039,6932,6879,6512,6270,5693,3789,8057,1284,5149,6382,6631,6615,6460,6020,6079,6355,6181,6923,6754,6608,6122,5758,5027,3037,4736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188893,102121,106993,,,,,,,25032,25862,24720,24934,26392,27173,24662,17546,10234,2559,0,144,2,,,1,,,
Q12517,,FR,France,OCC,Occitanie,32,Gers,FR,FRA,2,2020-06-24,,0,0,,,24,94,,,,,,,,,,,7422,43.65,0.58333333,,6257,,,,,,,,,,1229,4931,6057,6283,6333,6253,5987,6128,6372,6249,7039,6932,6879,6512,6270,5693,3789,8057,1284,5149,6382,6631,6615,6460,6020,6079,6355,6181,6923,6754,6608,6122,5758,5027,3037,4736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188893,102121,106993,,,,,,,25032,25862,24720,24934,26392,27173,24662,17546,10234,2559,0,144,2,,,1,,,
Q12517,,FR,France,OCC,Occitanie,32,Gers,FR,FRA,2,2020-06-25,,0,0,,,24,94,,,,,,,,,,,7422,43.65,0.58333333,,6257,,,,,,,,,,1229,4931,6057,6283,6333,6253,5987,6128,6372,6249,7039,6932,6879,6512,6270,5693,3789,8057,1284,5149,6382,6631,6615,6460,6020,6079,6355,6181,6923,6754,6608,6122,5758,5027,3037,4736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188893,102121,106993,,,,,,,25032,25862,24720,24934,26392,27173,24662,17546,10234,2559,0,144,2,,,1,,,
Q12517,,FR,France,OCC,Occitanie,32,Gers,FR,FRA,2,2020-06-26,,0,0,,,24,94,,,,,,,,,,,7422,43.65,0.58333333,,6257,,,,,,,,,,1229,4931,6057,6283,6333,6253,5987,6128,6372,6249,7039,6932,6879,6512,6270,5693,3789,8057,1284,5149,6382,6631,6615,6460,6020,6079,6355,6181,6923,6754,6608,6122,5758,5027,3037,4736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188893,102121,106993,,,,,,,25032,25862,24720,24934,26392,27173,24662,17546,10234,2559,0,144,2,,,1,,,
