ISO 3166-2 Code,Country,Subdivision,Last Update,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23
AR-L,Argentina,La Pampa,2020-06-24 13:32:52.446844,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2,0.0,0.0,0,3,0,4,0.0,0.0,0.0,5.0,6,10.0,0.0,0,15,0.0,16.0,17,25,32.0,38.0,39,40,54,57,65,0,71.0,0.0,75.0,80.0,81.0,85.0,86.0,92.0,0.0,97.0,103.0,106.0,110.0,0.0,113.0,0.0,117.0,118.0,120.0,126.0,132.0,133.0,0.0,140.0,141.0,146.0,149.0,154.0,0.0,0.0,156.0,161.0,164.0,165.0,170.0,173.0,175.0,178.0,185.0,188.0,192.0,195.0,201.0,0.0,204.0,209.0,216.0,217.0,224.0,228.0,0.0,233.0,236.0,240.0,243.0,249.0,254.0,0.0,260.0,0.0,263.0,271.0,278.0,286.0,287.0,294.0,0.0,,,,,,,
AR-F,Argentina,La Rioja,2020-06-24 13:32:52.446844,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0.0,0.0,3,0,0,0,4.0,0.0,0.0,0.0,10,12.0,13.0,0,19,0.0,0.0,25,27,37.0,48.0,60,73,88,99,104,120,128.0,146.0,158.0,182.0,200.0,207.0,226.0,232.0,249.0,266.0,288.0,303.0,313.0,342.0,369.0,437.0,458.0,475.0,506.0,541.0,586.0,618.0,637.0,668.0,686.0,704.0,724.0,759.0,791.0,815.0,831.0,841.0,854.0,861.0,871.0,880.0,897.0,920.0,1026.0,1084.0,1108.0,1121.0,1142.0,1144.0,1150.0,1166.0,1186.0,1211.0,1229.0,1240.0,1249.0,1258.0,1268.0,1275.0,1288.0,1301.0,1310.0,1337.0,1349.0,1382.0,1396.0,1408.0,1438.0,1448.0,1456.0,1461.0,0.0,,,,,,,
AR-M,Argentina,Mendoza,2020-06-24 13:32:52.446844,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,2,0,3,4,5,7,0,8.0,14.0,0,17,18,0,29.0,30.0,0.0,32.0,40,51.0,59.0,68,71,76.0,84.0,109,119,144.0,166.0,178,210,234,265,312,344,427.0,469.0,498.0,586.0,614.0,676.0,721.0,764.0,778.0,818.0,839.0,876.0,896.0,933.0,956.0,964.0,989.0,1000.0,1026.0,1054.0,1080.0,1102.0,1113.0,1145.0,1180.0,1195.0,1203.0,1225.0,1249.0,1250.0,1291.0,1322.0,1372.0,1388.0,1418.0,1455.0,1463.0,1488.0,1507.0,1530.0,1562.0,1587.0,1608.0,1615.0,1641.0,1660.0,1693.0,1728.0,1760.0,1778.0,1798.0,1833.0,1868.0,1911.0,1945.0,1982.0,2014.0,2017.0,2043.0,2058.0,2101.0,2141.0,2172.0,2198.0,2223.0,2271.0,2282.0,,,,,,,
AR-N,Argentina,Misiones,2020-06-24 13:32:52.446844,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,2,3.0,4.0,0.0,6.0,0,0.0,8.0,0,9,10.0,11.0,0,12,13.0,0.0,0,14,0,32,0,0,0.0,33.0,45.0,49.0,50.0,51.0,74.0,75.0,0.0,146.0,164.0,188.0,214.0,238.0,246.0,247.0,269.0,289.0,316.0,321.0,0.0,0.0,380.0,403.0,495.0,517.0,545.0,546.0,555.0,556.0,594.0,626.0,666.0,688.0,0.0,712.0,733.0,748.0,751.0,786.0,811.0,828.0,0.0,858.0,873.0,899.0,926.0,947.0,966.0,979.0,981.0,982.0,1012.0,1031.0,1032.0,1038.0,1107.0,0.0,1108.0,1110.0,1156.0,1190.0,1192.0,1204.0,1248.0,1249.0,1250.0,,,,,,,
AR-Q,Argentina,Neuquen,2020-06-24 13:32:52.446844,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,3,0,0.0,4.0,6,8,9,13,19.0,25.0,28.0,41.0,45,51.0,65.0,78,86,94.0,103.0,123,144,156.0,188.0,219,233,256,300,323,336,360.0,378.0,396.0,411.0,430.0,444.0,462.0,489.0,518.0,540.0,580.0,619.0,647.0,677.0,715.0,730.0,751.0,773.0,792.0,812.0,834.0,849.0,858.0,865.0,880.0,897.0,923.0,934.0,959.0,972.0,1000.0,1022.0,1041.0,1079.0,1098.0,1118.0,1132.0,1150.0,1171.0,1192.0,1208.0,1223.0,1237.0,1252.0,1269.0,1294.0,1311.0,1334.0,1364.0,1396.0,1407.0,1427.0,1456.0,1485.0,1510.0,1528.0,1543.0,1566.0,1581.0,1606.0,1650.0,1690.0,1730.0,1773.0,1800.0,1840.0,1847.0,,,,,,,
AR-R,Argentina,Rio Negro,2020-06-24 13:32:52.446844,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,2,0,3,0,0.0,0.0,5,6,8,10,13.0,15.0,0.0,21.0,0,25.0,27.0,34,0,35.0,42.0,43,46,56.0,66.0,78,88,113,140,188,212,285.0,288.0,324.0,380.0,424.0,454.0,487.0,539.0,553.0,590.0,631.0,682.0,727.0,767.0,808.0,819.0,840.0,904.0,972.0,1057.0,1088.0,1141.0,1151.0,1173.0,1225.0,1246.0,1278.0,1334.0,1339.0,1348.0,1383.0,1434.0,1495.0,1544.0,1608.0,1646.0,1660.0,1708.0,1740.0,1779.0,1835.0,1869.0,1910.0,1926.0,1965.0,2003.0,2038.0,2097.0,2138.0,2167.0,2188.0,2230.0,2264.0,2312.0,2351.0,2408.0,2471.0,2490.0,2548.0,2622.0,2684.0,2751.0,2824.0,2917.0,2927.0,2988.0,3030.0,,,,,,,
AR-A,Argentina,Salta,2020-06-24 13:32:52.446844,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,2.0,8,0,10,0,14.0,0.0,0.0,17.0,20,21.0,23.0,28,0,0.0,30.0,42,52,55.0,60.0,61,65,71,73,74,78,83.0,85.0,93.0,101.0,104.0,108.0,118.0,123.0,127.0,129.0,143.0,149.0,154.0,163.0,168.0,177.0,181.0,184.0,196.0,209.0,215.0,222.0,240.0,270.0,307.0,321.0,327.0,335.0,340.0,343.0,379.0,384.0,387.0,392.0,422.0,424.0,432.0,441.0,448.0,452.0,468.0,484.0,489.0,505.0,534.0,551.0,557.0,568.0,573.0,582.0,604.0,617.0,623.0,637.0,649.0,660.0,665.0,676.0,682.0,704.0,738.0,752.0,758.0,770.0,776.0,785.0,787.0,,,,,,,
AR-J,Argentina,San Juan,2020-06-24 13:32:52.446844,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,2,0,0,0,0.0,3.0,0,0,0,0,4.0,5.0,0.0,7.0,8,9.0,0.0,11,0,0.0,14.0,16,19,24.0,26.0,35,51,58,65,83,97,102.0,120.0,127.0,136.0,147.0,158.0,168.0,175.0,195.0,204.0,211.0,215.0,224.0,227.0,240.0,242.0,247.0,257.0,272.0,286.0,295.0,303.0,325.0,329.0,338.0,340.0,343.0,352.0,367.0,373.0,382.0,388.0,397.0,406.0,418.0,426.0,433.0,437.0,449.0,457.0,467.0,481.0,490.0,526.0,536.0,547.0,553.0,561.0,573.0,582.0,583.0,590.0,600.0,611.0,621.0,634.0,640.0,647.0,652.0,660.0,672.0,684.0,699.0,706.0,0.0,708.0,714.0,,,,,,,
AR-D,Argentina,San Luis,2020-06-24 13:32:52.446844,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,3,0,0,0.0,0.0,4,0,0,7,8.0,9.0,10.0,11.0,20,25.0,30.0,35,36,43.0,48.0,49,50,0.0,51.0,54,60,65,69,74,76,81.0,82.0,91.0,0.0,96.0,0.0,103.0,113.0,0.0,119.0,121.0,123.0,129.0,137.0,139.0,140.0,157.0,0.0,159.0,165.0,166.0,0.0,167.0,184.0,186.0,189.0,0.0,195.0,0.0,0.0,212.0,0.0,224.0,247.0,250.0,0.0,0.0,266.0,275.0,279.0,280.0,286.0,0.0,287.0,0.0,292.0,304.0,309.0,319.0,0.0,0.0,322.0,335.0,346.0,348.0,353.0,355.0,0.0,366.0,373.0,386.0,401.0,412.0,414.0,0.0,0.0,431.0,,,,,,,
AR-Z,Argentina,Santa Cruz,2020-06-24 13:32:52.446844,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,2,0,0,4,5.0,11.0,0.0,13.0,21,24.0,25.0,31,0,0.0,32.0,68,74,80.0,88.0,92,93,110,115,125,152,156.0,159.0,160.0,163.0,0.0,179.0,185.0,193.0,200.0,208.0,214.0,216.0,219.0,231.0,237.0,254.0,256.0,262.0,277.0,284.0,292.0,293.0,297.0,300.0,314.0,315.0,321.0,325.0,328.0,0.0,330.0,331.0,336.0,340.0,345.0,349.0,352.0,360.0,367.0,369.0,374.0,379.0,382.0,389.0,391.0,395.0,0.0,403.0,424.0,440.0,441.0,448.0,471.0,477.0,483.0,493.0,500.0,503.0,513.0,519.0,526.0,533.0,535.0,537.0,539.0,547.0,552.0,,,,,,,
AR-S,Argentina,Santa Fe,2020-06-24 13:32:52.446844,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,3,4,6,10,0,0.0,0.0,0,22,29,33,51.0,80.0,100.0,147.0,172,246.0,265.0,367,466,510.0,629.0,750,859,1017.0,1139.0,1200,1336,1515,1678,1811,1902,2032.0,2082.0,2181.0,2339.0,2442.0,2555.0,2703.0,2833.0,2942.0,3100.0,3268.0,3441.0,3610.0,3799.0,3981.0,4076.0,4307.0,4419.0,4563.0,4721.0,4836.0,4898.0,4962.0,5076.0,5209.0,5331.0,5480.0,5578.0,5689.0,5762.0,5911.0,6005.0,6179.0,6300.0,6455.0,6553.0,6641.0,6788.0,6994.0,7227.0,7427.0,7647.0,7786.0,7892.0,7970.0,8075.0,8244.0,8469.0,8678.0,8832.0,8937.0,9047.0,9182.0,9364.0,9520.0,9669.0,9886.0,9951.0,10122.0,10294.0,10449.0,10595.0,10734.0,10865.0,10957.0,11016.0,11057.0,,,,,,,
AR-G,Argentina,Santiago del Estero,2020-06-24 13:32:52.446844,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,1.0,0,0,0,4,5.0,7.0,0.0,0.0,0,0.0,16.0,0,0,0.0,0.0,17,29,31.0,0.0,0,45,52,61,0,0,77.0,78.0,89.0,92.0,95.0,99.0,107.0,0.0,0.0,113.0,116.0,123.0,131.0,138.0,144.0,166.0,167.0,194.0,196.0,207.0,208.0,0.0,0.0,223.0,232.0,242.0,251.0,277.0,287.0,289.0,296.0,315.0,398.0,433.0,480.0,481.0,0.0,590.0,705.0,806.0,883.0,957.0,958.0,0.0,1186.0,1187.0,1192.0,1255.0,1305.0,1345.0,0.0,1355.0,1432.0,1512.0,1582.0,1626.0,1632.0,0.0,1726.0,1793.0,1953.0,2068.0,2086.0,2148.0,2178.0,0.0,2200.0,,,,,,,
AR-V,Argentina,Tierra del Fuego,2020-06-24 13:32:52.446844,0.0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,8.0,0.0,0,10,0,14,20.0,0.0,21.0,29.0,42,45.0,55.0,68,81,131.0,136.0,141,223,258.0,299.0,314,332,354,372,402,418,452.0,470.0,502.0,526.0,628.0,655.0,682.0,728.0,742.0,763.0,786.0,823.0,828.0,860.0,876.0,890.0,908.0,920.0,957.0,983.0,1018.0,1039.0,1059.0,1072.0,1081.0,1102.0,1131.0,1143.0,1166.0,1174.0,1182.0,1194.0,1214.0,1228.0,1234.0,1239.0,1247.0,1259.0,1274.0,1288.0,1303.0,1314.0,1330.0,1338.0,1342.0,1365.0,1387.0,1404.0,1422.0,1438.0,1450.0,1463.0,1466.0,1472.0,1488.0,1495.0,1502.0,1510.0,1518.0,1525.0,1532.0,1536.0,1545.0,1552.0,1557.0,1558.0,1559.0,,,,,,,
AR-T,Argentina,Tucuman,2020-06-24 13:32:52.446844,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,4,0,0,0,0,0.0,12.0,0,25,0,30,37.0,43.0,44.0,53.0,65,86.0,102.0,132,0,0.0,167.0,186,247,270.0,284.0,304,317,335,361,387,409,426.0,436.0,457.0,481.0,518.0,564.0,607.0,664.0,697.0,716.0,765.0,838.0,925.0,1010.0,1088.0,1127.0,1177.0,1235.0,1310.0,1444.0,1542.0,1667.0,1791.0,1830.0,1885.0,1922.0,2025.0,2151.0,2217.0,2273.0,2318.0,2385.0,2456.0,2535.0,2653.0,2788.0,2853.0,2927.0,3034.0,3206.0,3298.0,3427.0,3585.0,3669.0,3774.0,3959.0,4056.0,4174.0,4306.0,4449.0,4576.0,4650.0,4702.0,4815.0,4886.0,4953.0,5157.0,5255.0,5313.0,5370.0,5455.0,5531.0,5652.0,5822.0,5902.0,5943.0,5949.0,,,,,,,
BO-B,Bolivia,Beni,2020-06-24 13:32:52.446844,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,33.0,39.0,57.0,62.0,63.0,67.0,67.0,83.0,191.0,212.0,212.0,212.0,212.0,231.0,312.0,312.0,314.0,389.0,389.0,436.0,509.0,548.0,551.0,551.0,581.0,679.0,833.0,902.0,1015.0,1097.0,1097.0,1142.0,1242.0,1355.0,1506.0,1576.0,1707.0,1809.0,1885.0,1965.0,2101.0,2278.0,2428.0,2472.0,2511.0,2511.0,2692.0,2778.0,2809.0,2927.0,2944.0,2954.0,2962.0,2994.0,3128.0,3326.0,3473.0,3581.0,3613.0,3679.0,3785.0
BO-H,Bolivia,Chuquisaca,2020-06-24 13:32:52.446844,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,6.0,6.0,11.0,11.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,17.0,17.0,17.0,19.0,19.0,19.0,21.0,21.0,22.0,22.0,25.0,25.0,25.0,25.0,26.0,28.0,29.0,31.0,32.0,38.0,39.0,39.0,39.0,43.0,61.0,74.0,85.0,100.0,102.0,117.0,129.0,134.0,185.0,196.0,253.0,301.0,301.0,382.0
